Tags,Meaning
gwt-material-design,For use when discussing Google web tools (GWT) material design 
marble-diagram,
xvfb,"Xvfb; X virtual framebuffer, is an X11 server that can run graphic applications without a physical screen."
inference,Inference is the act or process of deriving logical conclusions from premises known or assumed to be true. The conclusion drawn is also called an idiomatic. The laws of valid inference are studied in the field of logic.
carousel,A rotating display of content that can house a variety of content that usually includes &quot;next&quot; and &quot;previous&quot; buttons to rotate through the content.  
windows-store,"The Windows Store is a digital distribution platform for Windows applications. It distributes Universal Windows Platform Applications (AppX packages) and legacy Windows Phone apps (XAP packages) but not legacy desktop applications (such as MSI installers). This tag should not be used for platform questions (APIs, etc.) - use &#39;uwp&#39; instead."
pagedlist,"PagedList makes it easier for .Net developers to write paging code. It allows you to take any IEnumerable(T) and by specifying the page size and desired page index, select only a subset of that list. PagedList also provides properties that are useful when building UI paging controls."
nebular,"A toolkit which provides a set of native Angular (Not AngularJS 1.x) components, themeable components, authentication and security layers."
android-mediasession,"Allows interaction with media controllers, volume keys, media buttons, and transport controls."
kubernetes-networking,
android-thread,
gnat,"the GNU Ada compiler that comes as part of GCC (the GNU Compiler Collection including the GNU C Compiler). This tag includes the various versions of GNAT (GPL as released by AdaCore, FSF as available with gcc distributions, or Pro)"
domain-driven-design,Domain-driven design (DDD) is an approach to developing software for complex needs by deeply connecting the implementation to an evolving model of the core business concepts. Note that conceptual DDD questions are better to be asked at softwareengineering.stackexchange.com.
custom-function,"DO NOT USE THIS TAG ALONE. Unlike built in functions where the functions are designed by the product designers for mass use, Custom functions are functions that are custom designed for the end user for a specific custom purpose. Use for questions relating to such  functions along with the product in question(eg [sql], [google-sheets],[excel])."
google-coral,"Coral is a complete local AI toolkit that makes it easy to grow ideas from prototype to production. It enables developers to build devices with the Edge TPU, a small ASIC designed by Google that provides high performance ML inferencing for low-power devices. Questions related to application development with the Coral Dev Board and USB Accelerator."
terraform-template-file,
azure-functions-runtime,
flask-marshmallow,
vsto,"Visual Studio Tools for Office (VSTO) is a set of development tools for creating Office automation solutions (add-in or document customization), using .NET and the Visual Studio IDE."
ls,A utility in Unix-like systems such as Linux used for listing files and directories.
eslint-plugin-react-hooks,
aws-load-balancer,
truncate,"Data truncation is the automatic or deliberate shortening of data. A string, decimal number, or datestamp can be truncated to a shorter value.  A data stream (such as a file or record set) can be truncated when either the entirety of the data is not needed or when it will be stored in a location too short to hold its entire length. No rounding occurs when numbers are truncated."
